Line #,Key,en Version,ka Translation
637,ka.app.menu.admin_dataset.settings,Settings,პარამეტრები
638,ka.app.menu.admin_dataset.qa,Edit Questions/Answers,კითხვების/პასუხების შესწორება
639,ka.app.menu.admin_dataset.highlights,Highlights,მნიშვნელოვანი
640,ka.app.menu.admin_dataset.warnings,Warnings,გაფრთხილება
641,ka.app.menu.admin_dataset.mappable,Make Mappable,რუკაზე დასატანი
642,ka.app.menu.admin_dataset.delete,Delete,წაშლა
643,ka.app.menu.admin_dataset.private_share,Share Private Dataset,პირადი მონაცემთა ცხრილის გაზიარება
644,ka.app.menu.admin_dataset.mass_changes,Mass Changes Via Spreadsheet,Mass Changes Via Spreadsheet
645,ka.app.menu.admin_dataset.mass_changes_questions,Question Mass Changes,Question Mass Changes
646,ka.app.menu.admin_dataset.mass_changes_answers,Answer Mass Changes,Answer Mass Changes
647,ka.app.menu.admin_dataset.download_data,Download Data,Download Data
648,ka.app.menu.admin_dataset.groups,Group Questions,Group Questions
649,ka.app.menu.admin_dataset.sort,Sort Groups/Questions,Sort Groups/Questions
650,ka.app.menu.admin_dataset.weights,Weight Data,Weight Data
651,ka.app.menu.admin_time_series.explore_data,Explore Data,მონაცემების გაცნობა
652,ka.app.menu.admin_time_series.heading,Time Series Options,პერიოდული შედარების დეტალები
653,ka.app.menu.admin_time_series.settings,Settings,პარამეტრები
654,ka.app.menu.admin_time_series.qa,Edit Questions/Answers,კითხვების/პასუხების შესწორება
655,ka.app.menu.admin_time_series.mass_changes,Mass Changes Via Spreadsheet,Mass Changes Via Spreadsheet
656,ka.app.menu.admin_time_series.mass_changes_answers,Answer Mass Changes,Answer Mass Changes
657,ka.app.menu.admin_time_series.highlights,Highlights,მნიშვნელოვანი
658,ka.app.menu.admin_time_series.warnings,Warnings,გაფრთხილება
659,ka.app.menu.admin_time_series.delete,Delete,წაშლა
660,ka.app.menu.admin_time_series.private_share,Share Private Time Series,პირადი პერიოდული შედარების გაზიარება
661,ka.app.menu.admin_time_series.groups,Group Questions,Group Questions
662,ka.app.menu.admin_time_series.sort,Sort Groups/Questions,Sort Groups/Questions
663,ka.app.menu.admin_time_series.weights,Weight Data,Weight Data
664,ka.user.age_group.g1,17-24,17-24
665,ka.user.age_group.g2,25-34,25-34
666,ka.user.age_group.g3,35-44,35-44
667,ka.user.age_group.g4,45-54,45-54
668,ka.user.age_group.g5,55-64,55-64
669,ka.user.age_group.g6,above (>65),(>65)-ზე მეტი 
670,ka.user.status.researcher,Researcher,მკვლევარი
671,ka.user.status.student,Student,სტუდენტი
672,ka.user.status.journalist,Journalist,ჟურნალისტი
673,ka.user.status.ngo,NGO,არასამთავრობო ორგანიზაცია
674,ka.user.status.government_official,Government Official,სამთავრობო სტრუქტურა
675,ka.user.status.international_organization,International Organization,საერთაშორისო ორგანიზაცია
676,ka.user.status.private_sector,Private Sector,კერძო სექტორი
677,ka.user.status.other,Other,სხვა
678,ka.user.wanna_account,"Tired of filling out this form? To avoid this form in the future, create an account.","დაიღალეთ ამ ფორმის შევსებით? მომავალში მისი თავიდან აცილების მიზნის, შექმენით ანგარიში."
679,ka.layouts.nav.toggle,Toggle navigation,ნავიგაციის ჩართვა/გამორთვა
680,ka.layouts.nav.back,Back to UNICEF.ge,UNICEF.ge-ზე დაბრუნება
681,ka.layouts.explore_data.private_share_header,Privately Share '%{title}',პირადად გაზიარებული '%{title}'
