Line #,Key,en Version,ka Translation
601,ka.datasets.can_exclude_answers.no_questions,There are no questions on file for this dataset.,There are no questions on file for this dataset.
602,ka.datasets.mappable.title,Make Questions Mappable,Make Questions Mappable
603,ka.datasets.mappable.explanation,Use this page to indicate which questions are geographic in nature so that the analysis screen can include a map.,Use this page to indicate which questions are geographic in nature so that the analysis screen can include a map.
604,ka.datasets.mappable.no_shapes,"Sorry, at this time there are no pre-defined maps on file that you can use.","Sorry, at this time there are no pre-defined maps on file that you can use."
605,ka.datasets.mappable.add_shapes,Add Map Shapes,Add Map Shapes
606,ka.datasets.mappable.add_map_question,Add Mappable Question,Add Mappable Question
607,ka.datasets.mappable_form.title,Mappable Question Form,Mappable Question Form
608,ka.datasets.mappable_form.no_questions,There are no questions available in '%{title}' to be made mappable.,There are no questions available in '%{title}' to be made mappable.
609,ka.datasets.mappable_form.no_shapes,"Sorry, at this time there are no pre-defined maps on file that you can use.","Sorry, at this time there are no pre-defined maps on file that you can use."
610,ka.datasets.mappable_form.question_label,Question to make mappable,Question to make mappable
611,ka.datasets.mappable_form.shapeset_label,Map to use,Map to use
612,ka.datasets.mappable_form.matching_header,Mapping '[question]' to '[shapeset]',Mapping '[question]' to '[shapeset]'
613,ka.datasets.mappable_form.matching_explanation,"For each answer to '[question]', select the matching map shape from '[shapeset]'.","For each answer to '[question]', select the matching map shape from '[shapeset]'."
614,ka.datasets.mappable_form_edit.title,Mappable Question Form,Mappable Question Form
615,ka.datasets.mappable_form_edit.matching_header,Mapping '%{question}' to '%{shapeset}',Mapping '%{question}' to '%{shapeset}'
616,ka.datasets.mappable_form_edit.matching_explanation,"For each answer to '%{question}', select the matching map shape from '%{shapeset}'.","For each answer to '%{question}', select the matching map shape from '%{shapeset}'."
617,ka.datasets.form.reports,Reports,Reports
618,ka.datasets.form.header_add_report,Add a report for this dataset,Add a report for this dataset
619,ka.datasets.highlights.title,Dataset Highlights,Dataset Highlights
620,ka.datasets.highlights.instructions,"Highlights are visuals (charts and maps) that highlight interesting aspects of your dataset and are shown on the dashboard page and the home page. 

To add a highlight, go to the explore page, select the indicators you want, and then in the charts that appear click the star button in the top left corner.

You can use this page to quickly remove highlights or to indicate which highlight to always show on the home page - only one highlight from all datasets and time series can be selected for this.
","Highlights are visuals (charts and maps) that highlight interesting aspects of your dataset and are shown on the dashboard page and the home page. 

To add a highlight, go to the explore page, select the indicators you want, and then in the charts that appear click the star button in the top left corner.

You can use this page to quickly remove highlights or to indicate which highlight to always show on the home page - only one highlight from all datasets can be selected for this.
"
621,ka.datasets.highlights.no_highlights,There are no highlights on file for this dataset.,There are no highlights on file for this dataset.
622,ka.datasets.highlights.question_code,Question,Question
623,ka.datasets.highlights.broken_down_by_code,Broken Down By,Broken Down By
624,ka.datasets.highlights.filtered_by_code,Filtered By,Filtered By
625,ka.datasets.highlights.show_home_page,Always Shows on Home Page,Always Shows on Home Page
626,ka.datasets.highlights.btn_show_home_page,Show on Home Page,Show on Home Page
627,ka.questions.index.title,Edit Questions and their Answers,Edit Questions and their Answers
628,ka.questions.index.explanation,Use this page to select a question to edit it and/or it's answers.,Use this page to select a question to edit it and/or it's answers.
629,ka.questions.index.mass_changes,You can also use the %{link} to change multiple items at once via a spreadsheet upload.,You can also use the %{link} to change multiple items at once via a spreadsheet upload.
630,ka.questions.index.mass_changes_link,Mass Changes page,Mass Changes page
631,ka.questions.index.no_questions,There are no questions on file for this dataset.,There are no questions on file for this dataset.
632,ka.questions.show.title,Question: %{question},Question: %{question}
633,ka.questions.show.header_answers,Answers,Answers
634,ka.questions.show.no_answers,There are no pre-defined list of answers for this question.,There are no pre-defined list of answers for this question.
635,ka.questions.form.header_answers,Answers,Answers
636,ka.questions.form.explanation_answers,"The answer settings fields (value, sort order, etc) are only shown in the '%{lang}' tab.","The answer settings fields (value, sort order, etc) are only shown in the '%{lang}' tab."
637,ka.questions.form.default_text,Default Text,Default Text
638,ka.questions.form.header_add_answer,Add a new answer for this question,Add a new answer for this question
